"sg_ue";"nr_candidato";"nm_urna_candidato";"sg_partido";"ds_composicao_coligacao";"ds_situacao";"qt_votos_candidato";"pr_votos_candidato";"cd_eleicao";"sg_abrangencia";"turno";"cd_cargo";"qt_sessoes";"qt_sessoes_t";"qt_sessoes_nt";"qt_sessoes_i";"qt_sessoes_ni";"qt_sessoes_apuradas";"qt_sessoes_nao_apuradas";"qt_eleitores";"qt_eleitores_aptos";"qt_eleitores_nao_aptos";"qt_eleitores_si";"qt_eleitores_sni";"qt_eleitores_compareceram";"qt_abstencoes";"vscv";"qt_votos_nominais";"qt_votos_computados";"qt_votos_brancos";"qt_votos_nulos";"qt_votos_nulos_vn";"qt_votos_nulos_vnt";"qt_votos_vp";"qt_votos_validos";"qt_votos_an";"qt_votos_anulados_sob_judice";"qt_votos_total"
1538;45;"BRANCA MENEZES";"PSDB";"PSDB - PSDB / REPUBLICANOS";"Não eleito";1662;12,2;426;"MUNICIPAL";1;11;71;71;0;71;0;71;0;17552;17552;0;17552;0;14140;3412;0;13618;13618;209;313;313;0;0;13618;0;0;14140
1538;11;"ROSANA GOMES";"PP";"PP - PP / PSD";"Eleito";4428;32,52;426;"MUNICIPAL";1;11;71;71;0;71;0;71;0;17552;17552;0;17552;0;14140;3412;0;13618;13618;209;313;313;0;0;13618;0;0;14140
1538;17;"JOÃO CARVALHO";"PSL";"PSL";"Não eleito";263;1,93;426;"MUNICIPAL";1;11;71;71;0;71;0;71;0;17552;17552;0;17552;0;14140;3412;0;13618;13618;209;313;313;0;0;13618;0;0;14140
1538;15;"ANDRÉ MAIA";"MDB";"MDB - MDB / PL";"Não eleito";3272;24,03;426;"MUNICIPAL";1;11;71;71;0;71;0;71;0;17552;17552;0;17552;0;14140;3412;0;13618;13618;209;313;313;0;0;13618;0;0;14140
1554;15;"TANÍZO SÁ";"MDB";"MDB - PP / PSDB / PSL / MDB";"Eleito";3082;57,12;426;"MUNICIPAL";1;11;23;23;0;23;0;23;0;7209;7209;0;7209;0;5716;1493;0;5396;5396;52;268;268;0;0;5396;0;0;5716
1554;55;"PASTOR ALDEMAR";"PSD";"PSD - PT / PL / PSB / PSD / PC do B / DEM";"Não eleito";2314;42,88;426;"MUNICIPAL";1;11;23;23;0;23;0;23;0;7209;7209;0;7209;0;5716;1493;0;5396;5396;52;268;268;0;0;5396;0;0;5716
1570;45;"ZUM";"PSDB";"PSDB - PSDB / PSL";"Não eleito";964;20,23;426;"MUNICIPAL";1;11;20;20;0;20;0;20;0;5913;5913;0;5913;0;4918;995;0;4765;4765;24;129;129;0;0;4765;0;0;4918
1570;15;"JOÃO JÚNIOR";"MDB";"MDB - PL / MDB";"Não eleito";387;8,12;426;"MUNICIPAL";1;11;20;20;0;20;0;20;0;5913;5913;0;5913;0;4918;995;0;4765;4765;24;129;129;0;0;4765;0;0;4918
1570;13;"PROFESSOR JERRY";"PT";"PT";"Eleito";1583;33,22;426;"MUNICIPAL";1;11;20;20;0;20;0;20;0;5913;5913;0;5913;0;4918;995;0;4765;4765;24;129;129;0;0;4765;0;0;4918
1570;55;"ZE DO POSTO";"PSD";"PSD - PP / PSD";"Não eleito";1082;22,71;426;"MUNICIPAL";1;11;20;20;0;20;0;20;0;5913;5913;0;5913;0;4918;995;0;4765;4765;24;129;129;0;0;4765;0;0;4918
